objectid,name,unique_code,pollutant_metric,maximum_value,unit,compliance_status,compliance_metric,globalid,shape_Length,shape_Area
238,Torbay,E06000027,Benzene annual mean Limit Value 2020,0.28,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{20451037-4A4A-48FD-9FD1-9D201D6F8131},77911.4991108206,62886695.8942917
239,Torridge,E07000046,Benzene annual mean Limit Value 2020,0.25,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{52E3F1DE-1325-4945-88EB-3C311A680B3B},315627.907057768,985293648.562924
240,Trafford,E08000009,Benzene annual mean Limit Value 2020,0.45,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{8A20CED9-F925-4AD4-84B6-A9CEA87F8254},60712.7777675827,106044771.783645
241,Tunbridge Wells,E07000116,Benzene annual mean Limit Value 2020,0.51,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{326E0412-FCC3-4440-A812-3F4E1E6D3971},150590.455017113,331328854.676823
242,Uttlesford,E07000077,Benzene annual mean Limit Value 2020,0.37,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{517D669C-C397-487F-BC2F-CC91AA80173E},166507.865260072,641182922.735804
243,Vale of White Horse,E07000180,Benzene annual mean Limit Value 2020,0.46,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{31CF5706-6332-4055-AC31-5F7F5703A379},175977.202778777,578660264.122094
244,Wakefield,E08000036,Benzene annual mean Limit Value 2020,0.46,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{99C7F08F-720B-49B7-A732-566495C66410},109447.356258915,338619733.164991
245,Walsall,E08000030,Benzene annual mean Limit Value 2020,1.1,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{7212FCEB-04C9-46EF-A60D-8E67EF8A606B},59401.1794285966,103973538.346297
246,Warrington,E06000007,Benzene annual mean Limit Value 2020,0.43,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{79125C89-E36E-4708-8DE6-A76142CAF1FC},114690.861715145,180627983.826568
247,Warwick,E07000222,Benzene annual mean Limit Value 2020,0.38,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{AA7F7ED3-8875-4A48-B35E-DA4C6029DD95},116717.479258951,282882321.016032
248,Watford,E07000103,Benzene annual mean Limit Value 2020,0.57,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{9D8B4AE7-24DF-4AA2-9D25-C269535EC6D8},26392.3637917563,21430351.4040458
249,Waverley,E07000216,Benzene annual mean Limit Value 2020,0.45,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{59AB2529-61EC-4D1D-AF63-E0B173E7FFBC},125436.056342797,345170236.682502
250,Wealden,E07000065,Benzene annual mean Limit Value 2020,0.46,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{CBB561C2-819A-46CE-8556-65227A113F4E},225878.103797448,834948417.645897
251,Wellingborough,E07000156,Benzene annual mean Limit Value 2020,0.46,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{B0EFFD3F-805D-482D-940B-539092CEEAC3},69758.419463359,163036490.492432
252,Welwyn Hatfield,E07000241,Benzene annual mean Limit Value 2020,0.72,μg m⁻³,Compliant,Limit Value: 5 μg m⁻³,{93CC82C7-639E-49EC-B108-426949D7FDA3},82392.0596450988,129536895.734239
