Country code,Country name,Region code,Region name,LAD code,LAD name,Google sub region 1,Google sub region 2,Average distance to nearest park or public garden or playing field (m),Median distance to nearest park or public garden or playing field (m),Average size of nearest park or public garden or playing field (m2),Median size of nearest park or public garden or playing field (m2),"Average number of parks or public gardens or playing fields within 1,000 m radius","Median number of parks or public gardens or playing fields within 1,000 m radius","Average combined size of parks or public gardens or playing fields within 1,000 m radius (m2)","Median combined size of parks or public gardens or playing fields within 1,000 m radius (m2)",Population ,Average population per park or public garden or playing field,Median population per park or public garden or playing field,Number of flats within built up area,Number of flats in built up area with gardens,Average garden size for flats in built up area,Number of houses within built up area,Number of houses in built up area with gardens,Average garden size for houses in built up area ,Average percent change in mobility to parks from baseline during lockdown period,Average percent change in mobility to parks from baseline during post-lockdown period
E92000001,England,E12000002,North West,E08000012,Liverpool,Merseyside,Liverpool,277.87,245.2,108416.48,26257.4,6.84,7,637913.47,379717,494814,8736.68,7096.19,72808,38456.51,233.72,165722,162602,131.69,-14.4,6.9
E92000001,England,E12000002,North West,E08000013,St. Helens,Merseyside,Saint Helens District,273.92,226.95,84445.88,33598.22,5.41,5,437880.08,284942,180049,5473.85,3613.98,8377,5654.23,223.16,73801,72119,181.83,38.5,46.84
E92000001,England,E12000002,North West,E08000014,Sefton,Merseyside,Metropolitan Borough of Sefton,328.35,278.74,76497.78,25749.35,4.76,5,365160.36,162316,275396,7410.19,5220.19,30142,21530.74,351.32,99347,97789,222.67,29.84,105.72
E92000001,England,E12000002,North West,E08000015,Wirral,Merseyside,Wirral,315.08,276.74,89196.73,31133.85,6.22,6,392473.77,278975,323235,7670.52,4852.95,29207,20768.97,321.21,119820,118524,226.27,59.85,92.58
E92000001,England,E12000003,Yorkshire and The Humber,E06000010,"Kingston upon Hull, City of",Kingston upon Hull,,402.18,358.16,98402.88,37711.69,3.53,4,261680.02,191224,260645,13255.87,8283.4,20577,11106.62,182.22,101331,100191,138.63,0.05,43.97
E92000001,England,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,East Riding of Yorkshire,,574.37,394.05,31000.45,20783.29,2.68,2,85598.95,47557,339614,5169.83,3569.23,16936,11786.09,334.68,131516,125964,325.79,17.97,208.12
E92000001,England,E12000003,Yorkshire and The Humber,E06000012,North East Lincolnshire,North East Lincolnshire,,374.32,326.13,63657.65,32981.12,3.36,3,177194.98,107666,159821,8739,5359.82,9485,6862.57,191.45,63178,62544,206.87,-4.04,86.69
E92000001,England,E12000003,Yorkshire and The Humber,E06000013,North Lincolnshire,North Lincolnshire,,433.45,322.02,43143.14,21879.83,3.4,3,161401.69,87033,172005,5013.72,2583.75,7990,5529.89,325.12,65481,63084,342.42,4.04,34.14
E92000001,England,E12000003,Yorkshire and The Humber,E06000014,York,York,,353.31,294.74,45350.85,19883.43,4.35,4,188520.67,136994,209893,8081.5,4211.94,17370,11568.54,277,68184,66817,233.06,-19.69,44.33
E92000001,England,E12000003,Yorkshire and The Humber,E07000163,Craven,North Yorkshire,Craven District,460.13,280.27,26578.39,15962.7,3.48,3,82991.82,41011,55188,3657.53,1877.02,3945,2727.08,400.45,18471,17255,247.28,1.6,177.35
E92000001,England,E12000003,Yorkshire and The Humber,E07000164,Hambleton,North Yorkshire,Hambleton District,669.38,372.26,18164.98,15836.49,2.24,2,40469.21,30215,88292,3347.27,1984.62,3461,2128.05,651.96,29929,28200,382.41,-5.51,88.21
E92000001,England,E12000003,Yorkshire and The Humber,E07000165,Harrogate,North Yorkshire,Borough of Harrogate,496.05,356.01,89267.6,19215.03,3.23,3,217968.37,69996,150763,6980.93,4519.45,13958,10889.91,341.78,48165,46305,311.47,3.48,95.07
E92000001,England,E12000003,Yorkshire and The Humber,E07000166,Richmondshire,North Yorkshire,Richmondshire District,403.9,289.29,30213.72,17230.78,3.59,2,105625.6,40139,44331,2292.83,1322,2534,1613.33,525.44,14060,13524,281.8,-6.11,151.88
E92000001,England,E12000003,Yorkshire and The Humber,E07000167,Ryedale,North Yorkshire,Ryedale District,987.03,494.84,17983.72,14233.45,2.04,1,43459.2,28636,51197,3910.96,2126.17,2634,1720.29,556.6,16371,15000,418.26,0.38,125.95
E92000001,England,E12000003,Yorkshire and The Humber,E07000168,Scarborough,North Yorkshire,Scarborough District,548.59,305.02,50456.17,25623.69,4.31,4,210469.67,135820,107445,6176.71,2628.31,15260,11864.33,255.37,37534,36258,257.76,0.89,320.47
E92000001,England,E12000003,Yorkshire and The Humber,E07000169,Selby,North Yorkshire,Selby,543.7,352.7,17442.19,16447.22,2.79,2,45287.66,33849,89106,3033.89,1764.78,4228,2856.26,614.82,32275,30702,326.26,-2.95,28.78
E92000001,England,E12000003,Yorkshire and The Humber,E08000016,Barnsley,South Yorkshire,Borough of Barnsley,275.53,233.37,77691.98,26162.98,4.83,5,357102.5,156138,245199,4811.54,2412.81,9803,6329.23,283.66,98851,96218,215.65,19.74,54.58
E92000001,England,E12000003,Yorkshire and The Humber,E08000017,Doncaster,South Yorkshire,Doncaster District,403.22,299.71,58958.18,24566.2,3.75,3,194197.71,113766,310542,6430.17,3501.35,12006,7545.3,286.71,122787,119407,244.42,19.46,66.65
